CONTROLN,STATE,GENDER,HV1,IC1,IC4,HVP1,IC5,POBC1,POBC2,IC2,IC3,AVGGIFT,TCODE,DOB,DOMAIN,TARGET_D
153880,WI,F,592,244,392,1,12220,3,74,341,306,12.5,2,5001,S1,5
101855,MO,M,871,340,416,6,15336,0,71,385,365,7.857142857,1,2401,C2,10
62932,IN,M,403,174,264,1,9704,0,45,240,201,8,1,0,S3,10
125930,TX,F,715,339,396,1,12617,3,88,378,371,6,0,4806,R2,7.5
173653,HI,F,2346,420,503,67,14552,5,78,446,468,15.5,28,2401,C2,21
11011,FL,M,559,232,269,0,10511,11,20,270,257,12.61111111,1002,2601,S3,20
116894,TX,M,,368,531,5,33797,2,42,457,450,12.25,1,2201,U1,20
154245,CA,F,596,164,190,0,5273,23,57,168,181,16.5,2,4304,R1,15
134773,UT,M,706,362,394,1,10420,1,82,376,379,15,1,3201,C3,25
26271,GA,F,878,310,588,30,22281,4,55,517,433,10.13333333,28,3701,C2,16
180292,WA,F,1275,405,545,21,20971,6,51,453,500,6.6,28,2105,C2,10
10145,CA,F,2362,613,678,74,21179,9,61,632,655,8.928571429,2,5401,C1,5
133806,ID,U,718,226,357,0,17292,0,39,280,278,20,0,0,T2,15
112632,CT,M,2531,669,750,77,21094,6,51,730,696,8.272727273,2,5001,0,11
143253,CA,F,2089,275,356,56,10484,53,36,296,322,7.125,0,2101,U3,5
403,AL,J,765,408,472,1,15150,1,68,430,441,33.5,0,3901,0,35
189882,ND,F,832,310,376,0,11972,1,85,338,348,10,0,4201,C2,10
119570,TX,M,1458,299,446,8,19185,4,56,354,356,6.181818182,1,5201,S1,10
144021,CA,F,1590,240,257,25,7559,57,34,238,262,13.5,0,4903,U4,15
93356,IL,F,613,212,355,0,11792,1,60,245,294,11.83333333,0,3705,U2,25
24711,SC,F,477,256,316,0,10621,1,80,282,292,5.875,0,0,T2,10
74914,IA,F,424,192,256,0,9497,1,78,256,230,4.863636364,0,1501,T2,6
6909,CO,M,383,252,380,0,14045,0,78,256,359,13.82352941,1,2801,R3,15
124543,TX,M,688,422,490,0,16561,0,84,466,457,11.06666667,1002,5811,T1,18
163018,CA,M,3500,351,407,57,26034,36,28,260,463,15.66666667,1,0,U1,24
190671,CA,,2143,280,373,63,12935,29,36,353,328,9.260869565,0,1901,0,14
33356,FL,F,625,246,536,3,19102,1,47,466,362,14.09090909,0,1401,S1,20
151600,Cali,M,1560,500,485,5,13816,22,38,488,487,15,1,6601,S2,21
21259,NC,female,716,146,382,1,11136,2,66,339,227,12.47826087,0,4001,C2,15
128987,TX,F,1247,215,444,17,16891,16,50,313,350,26.33333333,28,3912,U1,41
108926,LA,M,611,265,337,1,12313,4,52,323,302,15,1,2601,T2,20
154709,Cali,F,1431,291,376,24,10498,18,48,390,315,13,0,0,S2,5
108050,LA,F,1089,431,538,1,16777,2,64,520,480,5.2,0,1401,T1,16
187274,IA,F,435,244,329,0,10692,2,76,298,281,15,0,0,R2,15
171655,Cali,F,1409,321,428,21,15611,3,57,405,377,12.66666667,0,0,S3,12
160488,OR,M,647,369,463,0,18492,6,34,422,401,9.5,0,0,C2,10
21305,NC,M,415,199,300,0,11449,0,86,308,242,8.333333333,1,5601,R2,10
98470,IL,F,492,172,399,0,13218,3,85,384,276,8.75,2,1108,T2,14
140586,TX,M,1043,610,788,13,49744,2,70,682,731,13.25,1,0,T1,20
158101,Cali,M,3668,690,780,97,32964,10,44,693,781,15,1,1701,S1,15
150043,Cali,M,3491,791,903,94,32718,18,44,828,853,20,1002,3201,S1,20
96251,IL,F,192,164,224,0,7361,3,89,211,186,5.866666667,0,4401,T3,10
188547,Cali,M,0,0,0,0,0,0,0,0,0,20.26086957,1,0,U4,25
180617,WA,male,824,225,383,10,13090,7,52,308,293,7.483333333,1002,2101,C2,11
86000,SD,F,428,205,309,0,11192,2,62,318,245,11.25,0,1201,C2,10
13265,AL,F,417,122,250,0,9715,0,64,283,160,7.75,28,1901,C3,11
71,TN,F,399,307,352,0,11428,0,85,315,336,6.818181818,0,3401,R2,16
148969,Cali,F,2377,633,663,85,19545,13,53,637,652,9.111111111,0,0,C1,10
156324,Cali,,2016,431,497,51,17882,11,53,465,459,8.75,0,0,S1,15
130976,CO,F,933,289,379,0,14104,6,42,332,349,8.142857143,2,1412,C2,7
140141,NM,F,619,215,268,4,10427,2,50,222,260,12.8,0,4401,R2,14
85416,Cali,F,3303,533,614,94,24251,13,45,568,586,14,0,0,C2,25
108150,LA,F,960,479,613,0,19518,10,57,526,548,15.2,2,6312,S1,20
129823,CO,M,1236,622,737,13,25882,2,29,630,727,6.076923077,1002,5601,S1,10
104413,AZ,M,473,164,215,1,9819,6,23,179,207,5.5,1,4201,R2,6
60512,IL,,1055,366,400,0,11289,8,74,462,379,20.8,2,2801,S2,25
90480,IL,F,1509,545,680,19,23170,7,75,617,599,9,0,4201,C1,11
148911,Cali,F,1953,454,564,47,21667,11,47,526,478,15.5,28,7201,C2,10
52990,TN,M,927,299,410,1,14428,1,56,322,372,5,1002,3801,T2,26
148022,Cali,F,2098,305,368,56,13564,56,25,311,352,6.076923077,0,4608,U2,10
147406,Cali,M,5209,1054,1128,99,52654,7,47,1220,1058,30.94117647,1002,2801,U1,38
103468,MO,F,476,219,319,0,10966,1,74,280,272,7.1,0,4103,T2,15
84100,MN,M,1515,648,781,17,25787,6,63,684,717,14,72,3201,S1,14
137548,AZ,M,2158,411,640,54,33235,7,12,516,535,7.933333333,0,2009,C1,9
6932,MO,M,1110,460,624,5,21875,2,58,544,538,7.264705882,1,1708,S1,10
37118,FL,,581,349,373,0,9667,19,53,361,359,9.857142857,0,2607,S2,15
109179,LA,M,563,259,342,3,10726,1,90,301,308,10.18181818,0,4201,R2,14
140642,NM,F,740,240,324,2,10701,9,26,288,294,5,2,2710,T2,5
77057,IA,F,516,332,379,0,13293,2,75,378,347,12.33333333,0,3601,S2,15
83131,MN,M,575,249,316,0,9843,0,86,282,290,10,1,0,R2,20
168078,Cali,M,2357,511,609,81,23786,26,55,540,570,13.66666667,1,3501,S1,19
32975,SC,M,645,304,376,0,6826,3,15,360,306,10.875,1,5908,S2,25
37472,FL,M,825,233,301,0,9747,63,21,239,290,20,1,0,C3,20
63113,IN,M,531,246,290,0,10423,2,70,278,272,5.375,0,2805,T2,5
57039,KY,F,195,131,179,0,5727,0,94,148,159,4.302325581,0,2911,R3,5
58786,KY,F,423,293,279,0,10343,0,82,297,274,6.055555556,0,2701,R2,20
164306,Cali,F,2725,629,734,83,24424,9,51,684,662,15,0,0,S2,30
113129,OK,F,359,220,299,0,13024,0,64,247,270,20,0,1501,S1,20
19094,CT,F,1373,472,517,2,17363,5,71,463,504,28.33333333,28,0,T1,40
102224,NJ,J,1439,370,464,3,13353,15,61,414,417,6.125,1002,0,S1,6
155375,Cali,F,889,398,495,0,13782,7,68,488,450,5.846153846,2,2201,S2,6
185030,FL,M,824,248,326,0,15008,15,7,274,288,10.15384615,0,1704,U1,10
149887,Cali,M,1993,442,520,49,16427,15,53,472,484,10.83333333,1,0,C3,15
117216,TX,F,618,233,394,0,12864,9,75,310,302,10.25,2,6201,S2,30
167892,Cali,F,3259,267,591,83,19399,17,49,626,508,7.666666667,0,0,U1,10
107618,NE,F,151,180,273,0,9138,0,68,208,230,2.361111111,0,1801,R3,2
72410,MI,M,492,272,402,0,14442,1,55,370,317,14.57142857,0,0,T2,20
112319,AR,Female,892,380,468,5,19444,2,21,406,426,17,2,3201,C1,30
28061,GA,F,948,531,584,1,19537,2,65,530,585,5.484848485,0,5902,T2,5
108371,LA,F,717,190,302,0,10888,21,62,313,235,24.16666667,28,1401,U2,20
187807,MI,M,612,330,400,1,13162,1,27,326,392,12.1,1,8305,R2,22
180383,WA,F,919,338,346,1,12507,5,56,337,349,8.214285714,0,609,C3,11
183013,WA,male,697,317,406,0,13561,3,34,364,337,10,1,3001,S2,11
187769,Cali,M,5059,693,847,99,29368,10,48,752,751,10.6,1,5403,S1,25
191056,Cali,M,5667,492,848,98,51280,11,35,808,594,28.83333333,1,801,U1,47
151891,Cali,F,2750,668,781,91,26199,10,44,701,717,11.44444444,0,0,S2,15
5822,KS,F,513,400,482,0,20842,3,66,434,436,6.07675,2,2901,S2,11
164969,Cali,F,1848,505,581,33,19729,28,49,515,560,5.684210526,0,6001,S1,7
172846,Cali,M,1417,406,508,18,18590,29,49,341,519,14.11111111,0,4201,C2,10
95951,IL,F,347,210,286,0,10356,6,74,255,229,8.076923077,0,4804,C3,20
18089,NC,M,994,404,530,2,17420,1,70,475,485,13.77777778,2,5001,C1,25
35276,FL,,3542,642,843,76,53131,3,31,690,807,6.642857143,2,1701,C1,10
18607,NC,M,797,377,451,2,16163,0,74,418,423,7.769230769,1,6001,T2,23
61275,IN,M,791,361,428,1,13805,1,74,407,390,7.636363636,1,4801,T2,12
36141,FL,F,957,408,459,16,17718,5,17,399,450,15,28,2805,C1,10
85716,MN,F,357,164,254,0,8443,1,78,214,215,25,0,2401,R3,25
154195,Cali,F,896,336,418,2,14513,7,46,362,389,20,0,0,T2,20
46755,AL,F,402,232,300,0,10540,1,86,249,276,4.833333333,0,0,R2,5
13239,FL,M,3083,166,332,52,16019,26,3,270,233,2.916666667,1,2901,C1,3
86068,SD,F,460,247,372,0,11245,1,69,357,300,9.363636364,0,0,R2,5
67900,MI,M,294,279,404,0,10385,2,80,355,391,17.5,1,4801,U4,20
59610,IN,F,1199,547,605,2,20694,0,69,556,597,10,28,2301,T1,15
13378,CA,F,1125,280,362,15,10857,10,51,336,305,5.714285714,0,2401,T2,7
20752,NC,M,974,252,330,3,13321,2,32,279,300,8.533333333,2,2001,C2,13
30934,GA,M,316,213,280,0,8956,0,79,238,254,12.5,0,905,R2,15
102163,MO,F,825,401,555,1,28003,4,49,463,464,25,0,4301,C1,30
128976,TX,F,642,271,312,0,9453,12,35,284,306,6.142857143,0,7001,S2,10
44088,IN,M,1263,468,601,21,26265,4,58,517,548,7.6875,1,3602,C1,10
154931,CA,F,1809,454,543,35,15886,12,44,466,503,8,28,0,C2,10
87939,IL,M,5294,1035,1065,96,60053,12,57,1165,1012,13,2,901,S1,30
140779,NV,F,1161,448,570,5,20691,8,14,484,536,5.75,0,4601,S1,6
113838,OK,F,295,150,248,0,8962,1,62,203,195,6.333333333,2,0,R3,8
156568,CA,,3020,756,823,95,26135,4,46,765,809,40.08333333,0,4812,S1,75
130485,CO,F,431,258,541,0,25828,3,32,342,386,8.571428571,0,3001,U2,16
101803,MO,F,544,264,340,0,16194,1,71,283,326,11,0,4701,C3,25
41899,FL,M,618,223,335,2,13341,7,22,278,278,7.846153846,1002,0,U3,10
30795,GA,M,323,183,210,2,7139,0,77,207,201,5.444444444,2,0,T3,10
133256,ID,M,1104,511,566,7,17366,3,50,528,534,13,2,2002,C1,10
151203,CA,U,2135,417,456,58,18907,10,55,417,433,8.2,0,0,0,5
31425,GA,M,671,287,441,3,16517,4,70,365,372,4.888888889,0,3901,T3,16
70524,MI,F,510,228,394,0,12576,1,80,370,324,10.8,0,3204,R2,23
161229,CA,F,650,302,318,13,7080,43,49,302,315,8.666666667,0,4201,R2,21
83181,MN,F,487,248,327,0,10792,1,88,287,286,12.72727273,0,0,R2,15
143528,CA,F,2925,288,376,83,23046,27,21,305,353,7.523809524,0,4905,U1,10
42970,FL,M,884,242,313,1,13491,6,6,268,271,4.428571429,1,0,T2,3
83708,MN,F,753,341,442,0,15502,1,80,393,373,8.4,28,5609,S1,10
101390,MO,F,594,337,347,1,13094,0,79,350,343,2.571428571,2,5701,C2,2
77898,WI,male,627,367,444,0,15350,6,71,427,394,7.5,1,2808,S2,10
77345,WI,male,806,331,447,0,15120,1,85,420,382,13.2,1,0,S1,16
142579,CA,F,3149,504,672,80,22033,8,33,601,562,10.71428571,0,201,U1,20
162209,CA,F,5266,495,785,96,43828,17,36,675,669,9.2,0,2005,S1,10
171396,CA,M,1401,441,466,1,15438,6,49,445,462,5,0,0,C2,6
129530,CO,M,593,163,230,0,9520,8,33,180,207,12.5,1,5401,S2,10
33773,FL,F,915,308,438,13,17783,8,19,357,367,13,0,0,R1,20
10031,NE,F,456,258,381,2,13411,2,75,311,314,7.285714286,0,3001,T2,10
62056,IN,M,610,319,407,0,11815,0,86,336,384,4.625,0,4601,R2,7
11494,FL,M,1229,469,544,21,17313,2,30,502,507,8.4,2,6501,T1,5
44847,FL,M,428,140,208,1,9064,7,35,196,171,9.769230769,0,5201,T2,10
94851,IL,F,2333,316,744,61,33535,18,45,643,420,7.307692308,2,1601,U1,10
15668,NC,M,707,383,433,0,13852,0,84,400,398,9.333333333,0,4101,R2,45
175579,OR,F,377,171,187,0,21980,16,42,199,219,16.66666667,0,4806,U4,20
150534,CA,U,1624,380,408,13,9685,38,47,382,407,5,980,0,U3,4
68441,MI,F,348,184,316,0,11686,0,71,269,264,27.5,0,4201,U4,30
157185,CA,F,1878,523,566,35,16084,8,62,526,564,6.785652174,0,0,C1,5
90816,IL,F,777,378,423,0,14106,6,84,386,396,17.8,0,5309,S2,20
94915,IL,F,1463,117,523,8,13344,26,60,439,266,12.16666667,0,4309,U1,15
118392,TX,M,375,153,248,0,7798,1,84,214,206,5.347826087,2,1701,R3,12
187571,IN,,561,302,331,1,10873,0,60,301,323,19.66666667,0,0,R2,26
21659,NC,M,502,199,261,1,8726,0,85,250,229,7.875,1002,5401,R2,10
157672,CA,M,4206,789,850,93,37411,19,36,804,834,12.66666667,2,3101,C1,10
64166,IN,M,800,283,425,4,15160,7,60,398,338,16.6,1,1701,T2,23
185304,CO,M,1472,625,732,27,27469,3,24,653,687,15.21428571,1,2505,T1,21
57963,KY,F,492,332,471,3,21410,0,71,450,425,8.4375,28,2709,C2,10
98249,IL,F,609,314,385,1,11360,0,92,347,349,6.666666667,0,0,R2,10
153689,CA,F,2430,604,669,85,20529,11,42,610,659,9.5,0,3001,S1,20
157807,CA,M,2559,581,651,84,21559,13,51,591,614,10.25,1,2401,S1,16
41715,FL,,696,272,427,7,16474,7,22,357,358,3.3,0,0,U3,3
45356,FL,M,762,254,411,7,17458,7,13,355,327,6.608695652,1,2006,U2,8
163506,CA,F,3556,735,805,98,34382,9,55,701,838,15.85714286,0,0,U1,15
107727,NE,F,441,260,353,0,12452,1,75,321,300,5.279069767,0,4007,T2,7
64212,IN,F,502,319,388,0,12989,1,80,363,341,15.66666667,0,2601,C2,20
60252,IN,M,673,284,373,0,15149,1,67,330,335,13.45454546,1,0,S2,15
45101,FL,F,1173,322,494,5,18738,7,14,424,407,4.125,2,0,C1,3
36528,FL,F,934,323,400,1,9980,73,17,373,376,25,0,2303,S2,25
38820,FL,M,1332,357,497,2,21444,14,15,411,422,9.576923077,2,1306,C1,20
133906,ID,F,451,225,294,1,10244,1,43,261,262,15,0,0,R2,10
12226,CO,F,649,238,302,0,10417,7,60,273,272,5.411764706,0,1301,C2,8
8696,OK,F,590,410,456,0,13115,1,65,439,433,13,2,0,T2,11
119368,TX,F,500,291,379,0,19609,6,50,316,314,11.5,28,4008,C1,25
14319,FL,M,368,230,295,0,9547,0,68,271,261,10.7,1,2601,S3,19
118408,TX,M,427,315,377,0,11299,2,86,365,340,9,1,2109,R2,15
146585,CA,F,1458,173,249,7,8381,40,38,191,220,4.243243243,0,0,U3,8
120115,TX,M,274,154,256,1,8881,6,84,214,199,40.875,1,701,R3,200
57463,KY,F,584,274,341,0,15105,3,62,287,336,11.14285714,0,2512,S2,10
94394,IL,F,553,306,348,0,9296,2,72,309,333,8.916666667,2,3308,U3,10
155135,CA,M,903,321,390,0,10985,8,54,406,358,6.75,1,3001,S3,7
149595,CA,M,2545,361,358,80,14300,38,37,304,386,12.5,1,6008,S2,17
166606,CA,F,1778,411,503,27,18236,21,41,480,439,39.44444444,0,3401,U1,50
8240,CA,,1187,328,428,11,13978,11,49,366,393,10.81481482,1,0,0,10
185904,TX,F,1448,651,724,18,24736,3,49,667,698,7.076923077,0,5801,S1,13
49351,AL,Male,712,377,472,1,15013,0,73,398,446,14.2,1,3401,T2,15
191779,FL,M,1432,636,772,24,35544,0,44,693,680,25,1,2701,0,150
169881,CA,F,2598,470,661,74,31631,9,36,557,562,8.222222222,0,0,C1,15
144356,CA,F,2855,311,537,78,18525,28,47,385,484,6.538461539,3,0,U2,20
186528,TX,F,535,244,402,3,17053,8,86,437,317,9.8125,2,2212,C2,15
14161,WA,male,703,161,232,0,8860,2,55,206,206,7.818181818,0,2805,T3,10
190839,IL,M,662,352,456,1,13460,17,60,406,394,12.5,1,5601,U3,15
146269,CA,F,2973,576,654,85,18497,39,41,591,624,7.25,2,4601,U1,10
188507,CA,F,2289,631,679,66,22571,8,61,647,657,9.769230769,2,2601,T1,10
116251,TX,F,1274,789,825,1,26360,4,31,798,804,6.409090909,0,505,S1,10
81945,WI,male,840,458,548,11,20327,1,79,471,513,15,1,6401,S1,20
8989,WA,F,1024,441,472,5,13462,5,46,451,446,10.5,2,1401,T2,32
47282,AL,F,558,336,398,0,13299,2,77,354,382,7.5,0,5701,S2,15
2950,MT,M,717,306,358,1,11279,2,37,315,333,4.85,0,0,R1,2
87771,IL,F,1667,541,624,26,21458,8,65,603,592,13.33333333,0,6401,U1,20
167934,WA,F,843,423,486,5,16476,6,32,424,475,10.72727273,28,3201,S2,21
26045,GA,F,583,360,434,5,24198,4,22,374,405,9.666666667,28,4801,C1,14
661,CA,M,1801,495,525,34,18663,3,48,534,475,19.47058824,0,6509,U2,20
47569,AL,F,863,406,562,2,19862,3,58,527,459,9.153846154,0,0,C2,10
176743,OR,M,335,140,170,0,6682,7,36,157,154,4.857142857,1,201,C3,7
188164,TX,,1362,575,718,8,21447,4,63,645,627,8.533333333,0,0,S1,10
134364,UT,F,700,252,302,0,12806,6,63,257,281,20,0,0,U2,20
93742,IL,F,562,360,474,0,12391,24,69,480,388,20,2,3504,U3,30
39479,FL,M,1287,479,616,7,20795,15,35,508,567,4.105769231,2,3306,C2,4
54142,TN,F,476,210,310,0,10171,0,55,254,272,13,2,4601,R2,21
168038,CA,M,5939,1214,1085,99,64833,19,42,1211,1080,20,0,4703,S1,36
48675,AL,F,648,353,453,0,16873,0,77,418,357,7,0,2601,C1,5
158980,CA,M,1862,365,425,23,10521,25,45,372,401,17.85714286,0,6201,S2,20
153888,CA,F,1843,515,582,34,23660,15,29,511,575,19,0,3801,S1,10
162300,CA,M,5190,870,918,98,39481,10,47,892,871,9.888888889,1002,2001,S1,20
163081,CA,M,3912,351,454,98,19508,22,32,410,404,6,1,0,U1,7
14000,OK,F,1537,791,949,26,32640,2,54,783,916,11.0625,0,2101,S1,12
6599,WA,F,719,330,416,1,14248,3,57,340,389,10.86666667,0,3601,S2,11
135454,AZ,M,1074,469,516,11,18042,2,34,472,510,8.823529412,0,0,T1,15
128643,TX,M,298,268,303,0,9838,3,75,281,267,6.625,1,2809,C3,4
116420,TX,M,1951,807,896,49,31111,6,32,838,870,9.333333333,0,0,S1,20
35101,FL,M,1434,388,577,25,18405,3,37,479,513,18,1,1911,S1,20
75474,IA,M,206,229,288,0,9248,0,86,251,267,11.66666667,0,0,R3,15
785,MI,M,613,146,349,0,13209,39,42,267,209,17.5,0,4507,C1,18
27624,GA,F,991,493,548,3,17344,2,46,506,532,7.769230769,2,3701,T1,8
73754,MI,F,900,343,465,0,16254,3,74,420,386,13.31818182,0,1801,S1,25
141189,NV,F,1163,468,548,7,18824,3,26,493,511,53,0,0,S2,25
1544,HI,F,3260,509,581,87,19165,19,52,542,552,13,28,5201,S1,10
124149,TX,M,430,237,320,0,10269,1,82,283,281,12,0,1801,T2,14
85890,SD,F,167,214,290,0,9452,0,85,273,247,14.41176471,2,0,R3,20
37005,FL,F,1380,260,371,14,13011,8,26,325,299,7.875,0,0,T2,11
166324,CA,U,3357,284,447,73,24240,15,33,455,343,11.85714286,0,0,U1,19
13448,CA,F,1518,150,218,13,5043,64,27,171,208,5.055555556,28,3001,U4,5
180428,WA,male,1390,426,470,12,15022,3,63,430,463,18,1,4811,T2,20
12517,MO,M,1224,575,611,7,18029,2,77,577,608,2.8125,1,3201,S1,1
99246,IL,F,182,171,278,0,9240,0,64,217,242,10.26666667,0,2201,R3,20
174760,OR,F,786,419,466,1,15010,1,59,452,444,4.555555556,2,2501,T2,5
124379,TX,M,308,161,219,0,6576,10,72,186,204,4.5,1,4401,0,5
176862,OR,F,1074,232,309,15,15070,1,18,252,294,10.04347826,2,0,T2,20
188986,AZ,M,885,367,454,12,21767,8,1,408,417,9.714285714,1,2101,C2,9
148906,CA,F,2375,371,363,71,15361,21,39,363,411,4.142857143,0,6201,C2,6
109646,LA,M,657,265,325,3,12509,0,87,293,303,9.472222222,1,5201,T3,10
62295,IN,F,581,369,383,0,12835,7,70,372,369,25.5,0,5601,C2,20
162650,CA,M,3010,410,559,93,19149,20,56,518,431,8.333333333,1,0,S1,5
99836,MO,M,548,262,342,0,12621,0,96,355,298,15,1,3101,S3,21
33994,FL,M,819,348,459,3,15958,1,47,388,421,7.090909091,1,5304,T2,6
93432,IL,F,613,212,355,0,11792,1,60,245,294,6,28,0,U3,11
62786,IN,F,431,280,347,0,11052,0,62,314,310,8.235294118,2,3501,R2,11
44634,FL,M,710,254,391,6,15970,4,30,287,325,7.285714286,1,3701,C2,10
146914,CA,F,3673,515,725,97,31773,10,39,675,589,6.5,0,5401,U1,10
70079,MI,F,365,98,330,0,9470,0,53,310,221,15,2,4701,C3,15
24871,SC,F,682,366,498,2,14538,3,63,464,421,9.666666667,2,4401,T2,16
150660,UT,F,901,327,437,1,17854,8,61,336,411,10.20588235,0,4601,U1,12
169700,California,M,1676,371,372,9,13231,6,69,336,398,5.571428571,1,0,C2,25
63542,IN,F,445,332,423,0,13662,0,78,398,370,14.55555556,0,4801,T2,26
125164,TX,F,588,316,381,0,14293,5,85,383,344,22.6,2,1601,S2,50
65634,MI,F,413,95,231,0,9020,12,46,171,123,10.16666667,0,801,C3,12
59285,IN,F,522,225,403,0,13669,1,84,349,326,12,2,5101,T3,10
78802,WI,J,667,293,422,0,17527,5,68,385,334,15,1002,1301,S2,15
186460,WI,F,303,175,253,0,7115,1,76,217,219,10.375,2,0,R3,20
114579,OK,M,633,399,517,0,17637,0,63,442,439,13.16666667,1,2112,C1,10
23184,SC,F,391,214,269,0,9853,0,77,243,242,14,0,0,C3,10
125289,TX,F,707,246,327,0,15322,13,63,283,291,5.25,0,1802,S2,7
10502,MI,M,1179,464,501,2,15910,2,82,496,462,13.46666667,0,0,T2,15
46844,AL,Male,453,219,299,0,9654,0,90,264,263,7,0,0,R3,10
162814,CA,M,3365,544,621,94,27608,8,59,525,655,6.2,1,3701,U1,10
89653,IL,M,1315,328,472,9,15767,5,64,384,398,4.818181818,0,1708,C2,3
170818,CA,F,668,187,240,0,6845,32,39,191,239,6,2,6209,S1,10
6147,SC,M,399,221,302,0,10150,0,88,266,259,13.90909091,1,2101,T2,24
14276,CA,F,3200,267,338,87,11115,36,43,292,325,13.2,0,2801,U2,15
120166,TX,F,289,171,283,0,9765,3,83,226,224,9.214285714,28,2608,R3,12
156817,CA,F,1796,266,337,33,10720,48,32,271,334,20,0,0,U2,20
35476,FL,M,625,259,309,0,11072,17,16,282,299,17.14285714,1,3609,C3,25
155382,CA,F,978,290,381,6,13490,9,50,324,349,15.85,0,3301,U2,30
104049,MO,M,367,159,222,0,8893,0,63,186,193,3.166666667,0,0,R3,3
112461,AR,M,376,178,256,3,8246,0,57,195,231,9.411764706,1,2401,R3,10
79580,WI,F,937,321,545,7,18567,13,52,441,433,15,2,201,U1,21
86528,ND,F,675,272,358,1,13135,1,81,310,301,3.083333333,2,0,T2,3
107658,NE,F,232,197,280,0,9480,1,81,259,229,6.928571429,28,0,R2,10
69537,MI,F,545,364,416,0,11401,2,89,382,400,8.6,0,2801,R2,15
81284,WI,F,458,228,318,0,10731,4,82,270,276,13.4,2,4308,C2,25
32475,FL,M,814,271,324,3,10488,2,52,268,312,16.4,1,0,T2,20
104505,KS,F,671,320,376,0,12950,0,57,340,349,10,2,3801,R2,25
13483,WI,F,452,293,371,0,10979,0,91,316,339,6.34,0,0,R3,17
1042,OR,M,826,314,426,7,14958,3,34,348,390,9.1875,1,810,T1,8
28337,GA,M,860,324,375,0,15491,15,35,351,346,11.33333333,1,2801,S2,20
67808,MI,F,185,277,286,0,10788,8,63,283,312,8.787878788,0,2207,U4,10
35017,FL,M,576,200,324,0,12518,8,12,280,244,12.90909091,2,2101,T2,10
10973,CA,M,2431,563,660,75,24290,8,59,579,655,10.89473684,1,2305,T1,12
67030,MI,M,388,364,433,0,12601,2,70,410,413,33.33333333,1,0,S3,50
122279,TX,F,1680,884,935,20,27875,7,36,878,943,5.076923077,2,4903,U4,5
18802,NC,M,1128,409,481,3,15936,2,67,467,442,14.5,1,5101,T2,20
90092,IL,F,916,434,457,0,12450,7,82,421,458,18.46153846,2,3905,S2,10
98821,IL,F,340,185,275,0,10719,3,78,228,235,9,0,2601,T2,10
116186,TX,M,711,322,378,1,12630,1,76,353,360,11.95454546,1,4212,R2,10
18359,NC,female,412,215,315,0,9706,0,94,259,271,6.444444444,28,0,R3,10
