,id,state,gender,median_home_val,median_household_income,ic4,hvp1,ic5,pobc1,pobc2,ic2,ic3,avggift,tcode,dob,domain,target_d
43,143253,CA,F,2089,275,356.0,56,10484,53,36,296.0,322,7.125,0,2101,U3,5.0
44,403,AL,J,765,408,472.0,1,15150,1,68,430.0,441,33.5,0,3901,0,35.0
45,189882,ND,F,832,310,376.0,0,11972,1,85,338.0,348,10.0,0,4201,C2,10.0
46,119570,TX,M,1458,299,446.0,8,19185,4,56,354.0,356,6.181818182,1,5201,S1,10.0
47,144021,CA,F,1590,240,257.0,25,7559,57,34,238.0,262,13.5,0,4903,U4,15.0
48,93356,IL,F,613,212,355.0,0,11792,1,60,245.0,294,11.83333333,0,3705,U2,25.0
49,24711,SC,F,477,256,316.0,0,10621,1,80,282.0,292,5.875,0,0,T2,10.0
50,74914,IA,F,424,192,256.0,0,9497,1,78,256.0,230,4.863636364,0,1501,T2,6.0
51,6909,CO,M,383,252,380.0,0,14045,0,78,256.0,359,13.82352941,1,2801,R3,15.0
52,124543,TX,M,688,422,490.0,0,16561,0,84,466.0,457,11.06666667,1002,5811,T1,18.0
53,163018,CA,M,3500,351,407.0,57,26034,36,28,260.0,463,15.66666667,1,0,U1,24.0
55,33356,FL,F,625,246,536.0,3,19102,1,47,466.0,362,14.09090909,0,1401,S1,20.0
56,151600,Cali,M,1560,500,485.0,5,13816,22,38,488.0,487,15.0,1,6601,S2,21.0
57,21259,NC,female,716,146,382.0,1,11136,2,66,339.0,227,12.47826087,0,4001,C2,15.0
58,128987,TX,F,1247,215,444.0,17,16891,16,50,313.0,350,26.33333333,28,3912,U1,41.0
59,108926,LA,M,611,265,337.0,1,12313,4,52,323.0,302,15.0,1,2601,T2,20.0
60,154709,Cali,F,1431,291,376.0,24,10498,18,48,390.0,315,13.0,0,0,S2,5.0
61,108050,LA,F,1089,431,538.0,1,16777,2,64,520.0,480,5.2,0,1401,T1,16.0
62,187274,IA,F,435,244,329.0,0,10692,2,76,298.0,281,15.0,0,0,R2,15.0
63,171655,Cali,F,1409,321,428.0,21,15611,3,57,405.0,377,12.66666667,0,0,S3,12.0
64,160488,OR,M,647,369,463.0,0,18492,6,34,422.0,401,9.5,0,0,C2,10.0
65,21305,NC,M,415,199,300.0,0,11449,0,86,308.0,242,8.333333333,1,5601,R2,10.0
66,98470,IL,F,492,172,399.0,0,13218,3,85,384.0,276,8.75,2,1108,T2,14.0
67,140586,TX,M,1043,610,788.0,13,49744,2,70,682.0,731,13.25,1,0,T1,20.0
68,158101,Cali,M,3668,690,780.0,97,32964,10,44,693.0,781,15.0,1,1701,S1,15.0
69,150043,Cali,M,3491,791,903.0,94,32718,18,44,828.0,853,20.0,1002,3201,S1,20.0
70,96251,IL,F,192,164,224.0,0,7361,3,89,211.0,186,5.866666667,0,4401,T3,10.0
71,188547,Cali,M,0,0,0.0,0,0,0,0,0.0,0,20.26086957,1,0,U4,25.0
72,180617,WA,male,824,225,383.0,10,13090,7,52,308.0,293,7.483333333,1002,2101,C2,11.0
73,86000,SD,F,428,205,309.0,0,11192,2,62,318.0,245,11.25,0,1201,C2,10.0
74,13265,AL,F,417,122,250.0,0,9715,0,64,283.0,160,7.75,28,1901,C3,11.0
75,71,TN,F,399,307,352.0,0,11428,0,85,315.0,336,6.818181818,0,3401,R2,16.0
76,148969,Cali,F,2377,633,663.0,85,19545,13,53,637.0,652,9.111111111,0,0,C1,10.0
78,130976,CO,F,933,289,379.0,0,14104,6,42,332.0,349,8.142857143,2,1412,C2,7.0
79,140141,NM,F,619,215,268.0,4,10427,2,50,222.0,260,12.8,0,4401,R2,14.0
80,85416,Cali,F,3303,533,614.0,94,24251,13,45,568.0,586,14.0,0,0,C2,25.0
81,108150,LA,F,960,479,613.0,0,19518,10,57,526.0,548,15.2,2,6312,S1,20.0
82,129823,CO,M,1236,622,737.0,13,25882,2,29,630.0,727,6.076923077,1002,5601,S1,10.0
83,104413,AZ,M,473,164,215.0,1,9819,6,23,179.0,207,5.5,1,4201,R2,6.0
85,90480,IL,F,1509,545,680.0,19,23170,7,75,617.0,599,9.0,0,4201,C1,11.0
86,148911,Cali,F,1953,454,564.0,47,21667,11,47,526.0,478,15.5,28,7201,C2,10.0
87,52990,TN,M,927,299,410.0,1,14428,1,56,322.0,372,5.0,1002,3801,T2,26.0
88,148022,Cali,F,2098,305,368.0,56,13564,56,25,311.0,352,6.076923077,0,4608,U2,10.0
89,147406,Cali,M,5209,1054,1128.0,99,52654,7,47,1220.0,1058,30.94117647,1002,2801,U1,38.0
90,103468,MO,F,476,219,319.0,0,10966,1,74,280.0,272,7.1,0,4103,T2,15.0
91,84100,MN,M,1515,648,781.0,17,25787,6,63,684.0,717,14.0,72,3201,S1,14.0
92,137548,AZ,M,2158,411,640.0,54,33235,7,12,516.0,535,7.933333333,0,2009,C1,9.0
93,6932,MO,M,1110,460,624.0,5,21875,2,58,544.0,538,7.264705882,1,1708,S1,10.0
95,109179,LA,M,563,259,342.0,3,10726,1,90,301.0,308,10.18181818,0,4201,R2,14.0
96,140642,NM,F,740,240,324.0,2,10701,9,26,288.0,294,5.0,2,2710,T2,5.0
97,77057,IA,F,516,332,379.0,0,13293,2,75,378.0,347,12.33333333,0,3601,S2,15.0
98,83131,MN,M,575,249,316.0,0,9843,0,86,282.0,290,10.0,1,0,R2,20.0
99,168078,Cali,M,2357,511,609.0,81,23786,26,55,540.0,570,13.66666667,1,3501,S1,19.0
100,32975,SC,M,645,304,376.0,0,6826,3,15,360.0,306,10.875,1,5908,S2,25.0
101,37472,FL,M,825,233,301.0,0,9747,63,21,239.0,290,20.0,1,0,C3,20.0
102,63113,IN,M,531,246,290.0,0,10423,2,70,278.0,272,5.375,0,2805,T2,5.0
103,57039,KY,F,195,131,179.0,0,5727,0,94,148.0,159,4.302325581,0,2911,R3,5.0
104,58786,KY,F,423,293,279.0,0,10343,0,82,297.0,274,6.055555556,0,2701,R2,20.0
105,164306,Cali,F,2725,629,734.0,83,24424,9,51,684.0,662,15.0,0,0,S2,30.0
106,113129,OK,F,359,220,299.0,0,13024,0,64,247.0,270,20.0,0,1501,S1,20.0
107,19094,CT,F,1373,472,517.0,2,17363,5,71,463.0,504,28.33333333,28,0,T1,40.0
108,102224,NJ,J,1439,370,464.0,3,13353,15,61,414.0,417,6.125,1002,0,S1,6.0
109,155375,Cali,F,889,398,495.0,0,13782,7,68,488.0,450,5.846153846,2,2201,S2,6.0
110,185030,FL,M,824,248,326.0,0,15008,15,7,274.0,288,10.15384615,0,1704,U1,10.0
111,149887,Cali,M,1993,442,520.0,49,16427,15,53,472.0,484,10.83333333,1,0,C3,15.0
112,117216,TX,F,618,233,394.0,0,12864,9,75,310.0,302,10.25,2,6201,S2,30.0
113,167892,Cali,F,3259,267,591.0,83,19399,17,49,626.0,508,7.666666667,0,0,U1,10.0
114,107618,NE,F,151,180,273.0,0,9138,0,68,208.0,230,2.361111111,0,1801,R3,2.0
115,72410,MI,M,492,272,402.0,0,14442,1,55,370.0,317,14.57142857,0,0,T2,20.0
116,112319,AR,Female,892,380,468.0,5,19444,2,21,406.0,426,17.0,2,3201,C1,30.0
117,28061,GA,F,948,531,584.0,1,19537,2,65,530.0,585,5.484848485,0,5902,T2,5.0
118,108371,LA,F,717,190,302.0,0,10888,21,62,313.0,235,24.16666667,28,1401,U2,20.0
119,187807,MI,M,612,330,400.0,1,13162,1,27,326.0,392,12.1,1,8305,R2,22.0
120,180383,WA,F,919,338,346.0,1,12507,5,56,337.0,349,8.214285714,0,609,C3,11.0
121,183013,WA,male,697,317,406.0,0,13561,3,34,364.0,337,10.0,1,3001,S2,11.0
122,187769,Cali,M,5059,693,847.0,99,29368,10,48,752.0,751,10.6,1,5403,S1,25.0
123,191056,Cali,M,5667,492,848.0,98,51280,11,35,808.0,594,28.83333333,1,801,U1,47.0
124,151891,Cali,F,2750,668,781.0,91,26199,10,44,701.0,717,11.44444444,0,0,S2,15.0
125,5822,KS,F,513,400,482.0,0,20842,3,66,434.0,436,6.07675,2,2901,S2,11.0
126,164969,Cali,F,1848,505,581.0,33,19729,28,49,515.0,560,5.684210526,0,6001,S1,7.0
127,172846,Cali,M,1417,406,508.0,18,18590,29,49,341.0,519,14.11111111,0,4201,C2,10.0
128,95951,IL,F,347,210,286.0,0,10356,6,74,255.0,229,8.076923077,0,4804,C3,20.0
129,18089,NC,M,994,404,530.0,2,17420,1,70,475.0,485,13.77777778,2,5001,C1,25.0
131,18607,NC,M,797,377,451.0,2,16163,0,74,418.0,423,7.769230769,1,6001,T2,23.0
132,61275,IN,M,791,361,428.0,1,13805,1,74,407.0,390,7.636363636,1,4801,T2,12.0
133,36141,FL,F,957,408,459.0,16,17718,5,17,399.0,450,15.0,28,2805,C1,10.0
134,85716,MN,F,357,164,254.0,0,8443,1,78,214.0,215,25.0,0,2401,R3,25.0
135,154195,Cali,F,896,336,418.0,2,14513,7,46,362.0,389,20.0,0,0,T2,20.0
136,46755,AL,F,402,232,300.0,0,10540,1,86,249.0,276,4.833333333,0,0,R2,5.0
137,13239,FL,M,3083,166,332.0,52,16019,26,3,270.0,233,2.916666667,1,2901,C1,3.0
138,86068,SD,F,460,247,372.0,0,11245,1,69,357.0,300,9.363636364,0,0,R2,5.0
139,67900,MI,M,294,279,404.0,0,10385,2,80,355.0,391,17.5,1,4801,U4,20.0
140,59610,IN,F,1199,547,605.0,2,20694,0,69,556.0,597,10.0,28,2301,T1,15.0
141,13378,CA,F,1125,280,362.0,15,10857,10,51,336.0,305,5.714285714,0,2401,T2,7.0
142,20752,NC,M,974,252,330.0,3,13321,2,32,279.0,300,8.533333333,2,2001,C2,13.0
143,30934,GA,M,316,213,280.0,0,8956,0,79,238.0,254,12.5,0,905,R2,15.0
144,102163,MO,F,825,401,555.0,1,28003,4,49,463.0,464,25.0,0,4301,C1,30.0
145,128976,TX,F,642,271,312.0,0,9453,12,35,284.0,306,6.142857143,0,7001,S2,10.0
146,44088,IN,M,1263,468,601.0,21,26265,4,58,517.0,548,7.6875,1,3602,C1,10.0
147,154931,CA,F,1809,454,543.0,35,15886,12,44,466.0,503,8.0,28,0,C2,10.0
148,87939,IL,M,5294,1035,1065.0,96,60053,12,57,1165.0,1012,13.0,2,901,S1,30.0
149,140779,NV,F,1161,448,570.0,5,20691,8,14,484.0,536,5.75,0,4601,S1,6.0
150,113838,OK,F,295,150,248.0,0,8962,1,62,203.0,195,6.333333333,2,0,R3,8.0
152,130485,CO,F,431,258,541.0,0,25828,3,32,342.0,386,8.571428571,0,3001,U2,16.0
153,101803,MO,F,544,264,340.0,0,16194,1,71,283.0,326,11.0,0,4701,C3,25.0
154,41899,FL,M,618,223,335.0,2,13341,7,22,278.0,278,7.846153846,1002,0,U3,10.0
155,30795,GA,M,323,183,210.0,2,7139,0,77,207.0,201,5.444444444,2,0,T3,10.0
156,133256,ID,M,1104,511,566.0,7,17366,3,50,528.0,534,13.0,2,2002,C1,10.0
157,151203,CA,U,2135,417,456.0,58,18907,10,55,417.0,433,8.2,0,0,0,5.0
158,31425,GA,M,671,287,441.0,3,16517,4,70,365.0,372,4.888888889,0,3901,T3,16.0
159,70524,MI,F,510,228,394.0,0,12576,1,80,370.0,324,10.8,0,3204,R2,23.0
160,161229,CA,F,650,302,318.0,13,7080,43,49,302.0,315,8.666666667,0,4201,R2,21.0
161,83181,MN,F,487,248,327.0,0,10792,1,88,287.0,286,12.72727273,0,0,R2,15.0
162,143528,CA,F,2925,288,376.0,83,23046,27,21,305.0,353,7.523809524,0,4905,U1,10.0
163,42970,FL,M,884,242,313.0,1,13491,6,6,268.0,271,4.428571429,1,0,T2,3.0
164,83708,MN,F,753,341,442.0,0,15502,1,80,393.0,373,8.4,28,5609,S1,10.0
165,101390,MO,F,594,337,347.0,1,13094,0,79,350.0,343,2.571428571,2,5701,C2,2.0
166,77898,WI,male,627,367,444.0,0,15350,6,71,427.0,394,7.5,1,2808,S2,10.0
167,77345,WI,male,806,331,447.0,0,15120,1,85,420.0,382,13.2,1,0,S1,16.0
168,142579,CA,F,3149,504,672.0,80,22033,8,33,601.0,562,10.71428571,0,201,U1,20.0
169,162209,CA,F,5266,495,785.0,96,43828,17,36,675.0,669,9.2,0,2005,S1,10.0
170,171396,CA,M,1401,441,466.0,1,15438,6,49,445.0,462,5.0,0,0,C2,6.0
171,129530,CO,M,593,163,230.0,0,9520,8,33,180.0,207,12.5,1,5401,S2,10.0
172,33773,FL,F,915,308,438.0,13,17783,8,19,357.0,367,13.0,0,0,R1,20.0
173,10031,NE,F,456,258,381.0,2,13411,2,75,311.0,314,7.285714286,0,3001,T2,10.0
174,62056,IN,M,610,319,407.0,0,11815,0,86,336.0,384,4.625,0,4601,R2,7.0
175,11494,FL,M,1229,469,544.0,21,17313,2,30,502.0,507,8.4,2,6501,T1,5.0
176,44847,FL,M,428,140,208.0,1,9064,7,35,196.0,171,9.769230769,0,5201,T2,10.0
177,94851,IL,F,2333,316,744.0,61,33535,18,45,643.0,420,7.307692308,2,1601,U1,10.0
178,15668,NC,M,707,383,433.0,0,13852,0,84,400.0,398,9.333333333,0,4101,R2,45.0
179,175579,OR,F,377,171,187.0,0,21980,16,42,199.0,219,16.66666667,0,4806,U4,20.0
180,150534,CA,U,1624,380,408.0,13,9685,38,47,382.0,407,5.0,980,0,U3,4.0
181,68441,MI,F,348,184,316.0,0,11686,0,71,269.0,264,27.5,0,4201,U4,30.0
182,157185,CA,F,1878,523,566.0,35,16084,8,62,526.0,564,6.785652174,0,0,C1,5.0
183,90816,IL,F,777,378,423.0,0,14106,6,84,386.0,396,17.8,0,5309,S2,20.0
184,94915,IL,F,1463,117,523.0,8,13344,26,60,439.0,266,12.16666667,0,4309,U1,15.0
185,118392,TX,M,375,153,248.0,0,7798,1,84,214.0,206,5.347826087,2,1701,R3,12.0
187,21659,NC,M,502,199,261.0,1,8726,0,85,250.0,229,7.875,1002,5401,R2,10.0
188,157672,CA,M,4206,789,850.0,93,37411,19,36,804.0,834,12.66666667,2,3101,C1,10.0
189,64166,IN,M,800,283,425.0,4,15160,7,60,398.0,338,16.6,1,1701,T2,23.0
190,185304,CO,M,1472,625,732.0,27,27469,3,24,653.0,687,15.21428571,1,2505,T1,21.0
191,57963,KY,F,492,332,471.0,3,21410,0,71,450.0,425,8.4375,28,2709,C2,10.0
192,98249,IL,F,609,314,385.0,1,11360,0,92,347.0,349,6.666666667,0,0,R2,10.0
193,153689,CA,F,2430,604,669.0,85,20529,11,42,610.0,659,9.5,0,3001,S1,20.0
194,157807,CA,M,2559,581,651.0,84,21559,13,51,591.0,614,10.25,1,2401,S1,16.0
196,45356,FL,M,762,254,411.0,7,17458,7,13,355.0,327,6.608695652,1,2006,U2,8.0
197,163506,CA,F,3556,735,805.0,98,34382,9,55,701.0,838,15.85714286,0,0,U1,15.0
198,107727,NE,F,441,260,353.0,0,12452,1,75,321.0,300,5.279069767,0,4007,T2,7.0
199,64212,IN,F,502,319,388.0,0,12989,1,80,363.0,341,15.66666667,0,2601,C2,20.0
200,60252,IN,M,673,284,373.0,0,15149,1,67,330.0,335,13.45454546,1,0,S2,15.0
201,45101,FL,F,1173,322,494.0,5,18738,7,14,424.0,407,4.125,2,0,C1,3.0
202,36528,FL,F,934,323,400.0,1,9980,73,17,373.0,376,25.0,0,2303,S2,25.0
203,38820,FL,M,1332,357,497.0,2,21444,14,15,411.0,422,9.576923077,2,1306,C1,20.0
204,133906,ID,F,451,225,294.0,1,10244,1,43,261.0,262,15.0,0,0,R2,10.0
205,12226,CO,F,649,238,302.0,0,10417,7,60,273.0,272,5.411764706,0,1301,C2,8.0
206,8696,OK,F,590,410,456.0,0,13115,1,65,439.0,433,13.0,2,0,T2,11.0
207,119368,TX,F,500,291,379.0,0,19609,6,50,316.0,314,11.5,28,4008,C1,25.0
208,14319,FL,M,368,230,295.0,0,9547,0,68,271.0,261,10.7,1,2601,S3,19.0
209,118408,TX,M,427,315,377.0,0,11299,2,86,365.0,340,9.0,1,2109,R2,15.0
210,146585,CA,F,1458,173,249.0,7,8381,40,38,191.0,220,4.243243243,0,0,U3,8.0
211,120115,TX,M,274,154,256.0,1,8881,6,84,214.0,199,40.875,1,701,R3,200.0
212,57463,KY,F,584,274,341.0,0,15105,3,62,287.0,336,11.14285714,0,2512,S2,10.0
213,94394,IL,F,553,306,348.0,0,9296,2,72,309.0,333,8.916666667,2,3308,U3,10.0
214,155135,CA,M,903,321,390.0,0,10985,8,54,406.0,358,6.75,1,3001,S3,7.0
215,149595,CA,M,2545,361,358.0,80,14300,38,37,304.0,386,12.5,1,6008,S2,17.0
216,166606,CA,F,1778,411,503.0,27,18236,21,41,480.0,439,39.44444444,0,3401,U1,50.0
218,185904,TX,F,1448,651,724.0,18,24736,3,49,667.0,698,7.076923077,0,5801,S1,13.0
219,49351,AL,Male,712,377,472.0,1,15013,0,73,398.0,446,14.2,1,3401,T2,15.0
220,191779,FL,M,1432,636,772.0,24,35544,0,44,693.0,680,25.0,1,2701,0,150.0
221,169881,CA,F,2598,470,661.0,74,31631,9,36,557.0,562,8.222222222,0,0,C1,15.0
222,144356,CA,F,2855,311,537.0,78,18525,28,47,385.0,484,6.538461539,3,0,U2,20.0
223,186528,TX,F,535,244,402.0,3,17053,8,86,437.0,317,9.8125,2,2212,C2,15.0
224,14161,WA,male,703,161,232.0,0,8860,2,55,206.0,206,7.818181818,0,2805,T3,10.0
225,190839,IL,M,662,352,456.0,1,13460,17,60,406.0,394,12.5,1,5601,U3,15.0
226,146269,CA,F,2973,576,654.0,85,18497,39,41,591.0,624,7.25,2,4601,U1,10.0
227,188507,CA,F,2289,631,679.0,66,22571,8,61,647.0,657,9.769230769,2,2601,T1,10.0
228,116251,TX,F,1274,789,825.0,1,26360,4,31,798.0,804,6.409090909,0,505,S1,10.0
229,81945,WI,male,840,458,548.0,11,20327,1,79,471.0,513,15.0,1,6401,S1,20.0
230,8989,WA,F,1024,441,472.0,5,13462,5,46,451.0,446,10.5,2,1401,T2,32.0
231,47282,AL,F,558,336,398.0,0,13299,2,77,354.0,382,7.5,0,5701,S2,15.0
232,2950,MT,M,717,306,358.0,1,11279,2,37,315.0,333,4.85,0,0,R1,2.0
233,87771,IL,F,1667,541,624.0,26,21458,8,65,603.0,592,13.33333333,0,6401,U1,20.0
234,167934,WA,F,843,423,486.0,5,16476,6,32,424.0,475,10.72727273,28,3201,S2,21.0
235,26045,GA,F,583,360,434.0,5,24198,4,22,374.0,405,9.666666667,28,4801,C1,14.0
236,661,CA,M,1801,495,525.0,34,18663,3,48,534.0,475,19.47058824,0,6509,U2,20.0
237,47569,AL,F,863,406,562.0,2,19862,3,58,527.0,459,9.153846154,0,0,C2,10.0
238,176743,OR,M,335,140,170.0,0,6682,7,36,157.0,154,4.857142857,1,201,C3,7.0
240,134364,UT,F,700,252,302.0,0,12806,6,63,257.0,281,20.0,0,0,U2,20.0
241,93742,IL,F,562,360,474.0,0,12391,24,69,480.0,388,20.0,2,3504,U3,30.0
242,39479,FL,M,1287,479,616.0,7,20795,15,35,508.0,567,4.105769231,2,3306,C2,4.0
243,54142,TN,F,476,210,310.0,0,10171,0,55,254.0,272,13.0,2,4601,R2,21.0
244,168038,CA,M,5939,1214,1085.0,99,64833,19,42,1211.0,1080,20.0,0,4703,S1,36.0
245,48675,AL,F,648,353,453.0,0,16873,0,77,418.0,357,7.0,0,2601,C1,5.0
246,158980,CA,M,1862,365,425.0,23,10521,25,45,372.0,401,17.85714286,0,6201,S2,20.0
247,153888,CA,F,1843,515,582.0,34,23660,15,29,511.0,575,19.0,0,3801,S1,10.0
248,162300,CA,M,5190,870,918.0,98,39481,10,47,892.0,871,9.888888889,1002,2001,S1,20.0
249,163081,CA,M,3912,351,454.0,98,19508,22,32,410.0,404,6.0,1,0,U1,7.0
250,14000,OK,F,1537,791,949.0,26,32640,2,54,783.0,916,11.0625,0,2101,S1,12.0
251,6599,WA,F,719,330,416.0,1,14248,3,57,340.0,389,10.86666667,0,3601,S2,11.0
252,135454,AZ,M,1074,469,516.0,11,18042,2,34,472.0,510,8.823529412,0,0,T1,15.0
253,128643,TX,M,298,268,303.0,0,9838,3,75,281.0,267,6.625,1,2809,C3,4.0
254,116420,TX,M,1951,807,896.0,49,31111,6,32,838.0,870,9.333333333,0,0,S1,20.0
255,35101,FL,M,1434,388,577.0,25,18405,3,37,479.0,513,18.0,1,1911,S1,20.0
256,75474,IA,M,206,229,288.0,0,9248,0,86,251.0,267,11.66666667,0,0,R3,15.0
257,785,MI,M,613,146,349.0,0,13209,39,42,267.0,209,17.5,0,4507,C1,18.0
258,27624,GA,F,991,493,548.0,3,17344,2,46,506.0,532,7.769230769,2,3701,T1,8.0
259,73754,MI,F,900,343,465.0,0,16254,3,74,420.0,386,13.31818182,0,1801,S1,25.0
260,141189,NV,F,1163,468,548.0,7,18824,3,26,493.0,511,53.0,0,0,S2,25.0
261,1544,HI,F,3260,509,581.0,87,19165,19,52,542.0,552,13.0,28,5201,S1,10.0
262,124149,TX,M,430,237,320.0,0,10269,1,82,283.0,281,12.0,0,1801,T2,14.0
263,85890,SD,F,167,214,290.0,0,9452,0,85,273.0,247,14.41176471,2,0,R3,20.0
264,37005,FL,F,1380,260,371.0,14,13011,8,26,325.0,299,7.875,0,0,T2,11.0
265,166324,CA,U,3357,284,447.0,73,24240,15,33,455.0,343,11.85714286,0,0,U1,19.0
266,13448,CA,F,1518,150,218.0,13,5043,64,27,171.0,208,5.055555556,28,3001,U4,5.0
267,180428,WA,male,1390,426,470.0,12,15022,3,63,430.0,463,18.0,1,4811,T2,20.0
268,12517,MO,M,1224,575,611.0,7,18029,2,77,577.0,608,2.8125,1,3201,S1,1.0
269,99246,IL,F,182,171,278.0,0,9240,0,64,217.0,242,10.26666667,0,2201,R3,20.0
270,174760,OR,F,786,419,466.0,1,15010,1,59,452.0,444,4.555555556,2,2501,T2,5.0
271,124379,TX,M,308,161,219.0,0,6576,10,72,186.0,204,4.5,1,4401,0,5.0
272,176862,OR,F,1074,232,309.0,15,15070,1,18,252.0,294,10.04347826,2,0,T2,20.0
273,188986,AZ,M,885,367,454.0,12,21767,8,1,408.0,417,9.714285714,1,2101,C2,9.0
274,148906,CA,F,2375,371,363.0,71,15361,21,39,363.0,411,4.142857143,0,6201,C2,6.0
275,109646,LA,M,657,265,325.0,3,12509,0,87,293.0,303,9.472222222,1,5201,T3,10.0
276,62295,IN,F,581,369,383.0,0,12835,7,70,372.0,369,25.5,0,5601,C2,20.0
277,162650,CA,M,3010,410,559.0,93,19149,20,56,518.0,431,8.333333333,1,0,S1,5.0
278,99836,MO,M,548,262,342.0,0,12621,0,96,355.0,298,15.0,1,3101,S3,21.0
279,33994,FL,M,819,348,459.0,3,15958,1,47,388.0,421,7.090909091,1,5304,T2,6.0
280,93432,IL,F,613,212,355.0,0,11792,1,60,245.0,294,6.0,28,0,U3,11.0
281,62786,IN,F,431,280,347.0,0,11052,0,62,314.0,310,8.235294118,2,3501,R2,11.0
282,44634,FL,M,710,254,391.0,6,15970,4,30,287.0,325,7.285714286,1,3701,C2,10.0
283,146914,CA,F,3673,515,725.0,97,31773,10,39,675.0,589,6.5,0,5401,U1,10.0
284,70079,MI,F,365,98,330.0,0,9470,0,53,310.0,221,15.0,2,4701,C3,15.0
285,24871,SC,F,682,366,498.0,2,14538,3,63,464.0,421,9.666666667,2,4401,T2,16.0
286,150660,UT,F,901,327,437.0,1,17854,8,61,336.0,411,10.20588235,0,4601,U1,12.0
287,169700,California,M,1676,371,372.0,9,13231,6,69,336.0,398,5.571428571,1,0,C2,25.0
288,63542,IN,F,445,332,423.0,0,13662,0,78,398.0,370,14.55555556,0,4801,T2,26.0
289,125164,TX,F,588,316,381.0,0,14293,5,85,383.0,344,22.6,2,1601,S2,50.0
290,65634,MI,F,413,95,231.0,0,9020,12,46,171.0,123,10.16666667,0,801,C3,12.0
291,59285,IN,F,522,225,403.0,0,13669,1,84,349.0,326,12.0,2,5101,T3,10.0
