Customer,State,Customer Lifetime Value,Education,Gender,Income,Monthly Premium Auto,Number of Open Complaints,Policy Type,Total Claim Amount,Vehicle Class
TJ30081,Arizona,12036.62051,Bachelor,M,44428,104,0,Personal Auto,499.2,SUV
FW44940,California,8467.387317,Bachelor,F,21139,113,0,Personal Auto,656.798232,Sports Car
CS55808,California,9392.557553,College,M,0,88,0,Personal Auto,851.146266,Four-Door Car
WZ61178,California,5227.230377,Bachelor,F,11896,69,0,Personal Auto,476.254583,Two-Door Car
IV55977,Oregon,2693.75925,Bachelor,M,0,73,1,Personal Auto,350.4,Two-Door Car
YC67208,California,2227.072755,High School or Below,M,27972,61,0,Personal Auto,292.8,Four-Door Car
LZ89773,California,2326.864833,Doctor,M,0,62,0,Personal Auto,624.711448,Four-Door Car
IP52990,Oregon,16794.31422,High School or Below,F,38399,106,0,Personal Auto,368.890904,SUV
VF73104,Arizona,5016.827946,High School or Below,F,20868,63,0,Personal Auto,134.629643,Four-Door Car
OC80343,Oregon,7757.924239,Bachelor,M,49682,101,0,Personal Auto,198.84453,SUV
EL89222,California,8609.158215,Bachelor,F,79090,107,0,Personal Auto,289.040734,SUV
QB14114,Oregon,5275.056933,High School or Below,F,81850,132,0,Personal Auto,429.860895,Sports Car
HM41195,Arizona,5746.32619,High School or Below,M,22906,76,0,Personal Auto,519.883102,Four-Door Car
JT41591,Washington,2705.987629,College,M,0,83,1,Personal Auto,398.4,Four-Door Car
HE15857,Washington,6186.265217,Bachelor,M,37138,83,2,Personal Auto,417.28389,Two-Door Car
KI64666,Nevada,22445.28088,Bachelor,F,0,71,0,Personal Auto,511.2,Four-Door Car
JC33752,Oregon,6277.844624,College,F,21024,82,1,Personal Auto,450.129276,Two-Door Car
JA25453,California,7215.821106,High School or Below,M,0,103,0,Personal Auto,741.6,Four-Door Car
AJ69778,Oregon,6514.430592,High School or Below,F,77135,84,3,Personal Auto,98.372265,Four-Door Car
FQ83162,Washington,34708.87261,College,M,0,109,0,Personal Auto,718.700718,Sports Car
EY89842,Arizona,4216.19522,Bachelor,M,0,114,0,Corporate Auto,820.8,SUV
TG69238,Oregon,13158.37206,Bachelor,F,72845,108,0,Personal Auto,463.000336,SUV
UI63465,Oregon,2917.539465,High School or Below,F,51622,74,0,Corporate Auto,355.2,Four-Door Car
WX33904,Arizona,6355.678846,Bachelor,M,0,61,0,Special Auto,292.8,Two-Door Car
HA20933,Oregon,13269.59942,Bachelor,F,15616,114,1,Personal Auto,547.2,SUV
BU16704,Oregon,5880.256499,High School or Below,F,0,82,0,Personal Auto,590.4,Four-Door Car
JV68002,Washington,5926.729379,College,M,23091,96,5,Corporate Auto,460.8,Four-Door Car
PM78410,Oregon,4121.252137,Bachelor,F,0,67,3,Personal Auto,482.4,Two-Door Car
PU92298,Arizona,7956.152761,Bachelor,F,22699,74,4,Personal Auto,355.2,Four-Door Car
AA16582,Washington,24127.50402,Bachelor,M,14072,71,0,Personal Auto,511.2,Four-Door Car
AZ87715,California,26864.20332,High School or Below,F,81713,74,0,Personal Auto,332.224293,Four-Door Car
GI89160,California,31934.62164,Bachelor,F,56516,199,0,Personal Auto,955.2,Luxury SUV
WV57813,Oregon,5132.684537,Bachelor,F,0,73,0,Personal Auto,525.6,Four-Door Car
EW86465,Arizona,4759.624343,High School or Below,M,26747,61,0,Corporate Auto,404.074203,Four-Door Car
UW70224,Oregon,2637.942355,College,F,63422,66,0,Personal Auto,355.922452,Four-Door Car
LU12532,California,6503.397049,High School or Below,F,22081,84,0,Personal Auto,451.670309,Two-Door Car
WD48852,Oregon,12786.66898,College,F,0,180,0,Special Auto,1296,Luxury SUV
BH43379,Oregon,3147.973444,Bachelor,F,29698,83,2,Personal Auto,215.884804,Four-Door Car
GV59387,California,5618.485357,College,F,24518,74,0,Personal Auto,241.656325,Two-Door Car
LQ76410,Arizona,3230.576665,College,M,62873,81,0,Special Auto,207.75186,Four-Door Car
MF19231,California,7434.675149,Master,M,28377,94,0,Personal Auto,451.2,Four-Door Car
XS47087,Oregon,11714.78278,College,M,21102,100,0,Personal Auto,480,SUV
IL56791,Oregon,2009.772923,Bachelor,M,0,65,2,Personal Auto,312,Two-Door Car
UV88036,Nevada,6625.472768,High School or Below,F,0,88,0,Personal Auto,539.280951,Four-Door Car
SE76116,California,9567.711298,Bachelor,M,81410,119,0,Personal Auto,221.188327,SUV
GJ63103,Oregon,18474.71111,High School or Below,F,27869,67,0,Personal Auto,482.4,Two-Door Car
PL78574,Arizona,12157.32992,High School or Below,M,57449,103,0,Personal Auto,494.4,Four-Door Car
NV69875,Oregon,2956.358303,High School or Below,M,40901,74,0,Corporate Auto,13.628274,Four-Door Car
MC38650,Nevada,3963.394851,High School or Below,M,88701,99,0,Personal Auto,171.830049,Two-Door Car
No73819,California,10896.04838,Master,F,29365,137,0,Personal Auto,657.6,Sports Car
OW84864,California,6081.048248,College,F,0,82,0,Personal Auto,393.6,Four-Door Car
BV91898,Arizona,30141.61738,Bachelor,F,0,103,0,Personal Auto,1060.310769,SUV
WQ54314,Oregon,5737.233278,Bachelor,F,56455,73,2,Personal Auto,350.4,Four-Door Car
NM57315,California,16979.79757,Bachelor,M,35095,73,0,Special Auto,525.6,Two-Door Car
JB51220,Oregon,10915.35877,High School or Below,F,0,155,1,Corporate Auto,1116,Sports Car
EN77569,Oregon,3808.122147,College,F,94903,94,0,Special Auto,451.2,Two-Door Car
YP47665,Washington,5408.911507,Doctor,M,80192,67,0,Personal Auto,95.193157,Four-Door Car
QO54008,Oregon,13419.39623,Master,M,0,122,0,Personal Auto,827.786203,SUV
EQ59908,California,3237.996209,Master,M,60244,83,3,Corporate Auto,326.281835,Four-Door Car
YU72540,Arizona,10357.62776,College,F,52735,65,0,Personal Auto,123.512596,Four-Door Car
BZ50261,Arizona,11619.91802,High School or Below,F,78275,72,0,Personal Auto,25.336642,Two-Door Car
QE92747,Oregon,8209.054963,Bachelor,F,77282,102,0,Corporate Auto,489.6,Four-Door Car
KG83280,California,3096.511217,College,F,21604,79,0,Personal Auto,379.2,Four-Door Car
IL42365,Arizona,4804.35851,High School or Below,F,51962,125,4,Personal Auto,788.206874,Sports Car
FI86516,Oregon,4786.054889,Bachelor,F,0,68,0,Corporate Auto,489.6,Four-Door Car
FV14881,California,15886.03136,Doctor,F,56362,197,1,Personal Auto,945.6,Luxury SUV
RR54950,Arizona,5285.079293,College,M,85753,66,1,Special Auto,316.8,Four-Door Car
FC70869,Arizona,2945.370362,High School or Below,F,36167,76,3,Personal Auto,364.8,Two-Door Car
PB60303,Oregon,18089.79629,Master,F,68568,223,1,Personal Auto,1070.4,Luxury Car
HO50571,California,10208.92761,College,F,35482,129,0,Personal Auto,619.2,SUV
BH86846,Washington,20708.25881,High School or Below,M,92079,65,1,Corporate Auto,114.798771,Four-Door Car
PC42162,Oregon,5247.852585,Bachelor,M,0,77,0,Personal Auto,554.4,Two-Door Car
KD21661,California,5179.55248,College,M,0,165,2,Personal Auto,1188,SUV
FZ73016,California,4513.435299,Bachelor,F,34558,113,0,Personal Auto,376.529086,SUV
HJ19927,Nevada,5297.625945,Master,M,14775,69,0,Personal Auto,170.939409,Four-Door Car
RJ99408,California,5377.014781,High School or Below,M,35637,68,0,Personal Auto,326.4,Four-Door Car
EL81968,Oregon,7661.388132,Bachelor,M,66726,97,1,Personal Auto,335.840529,Two-Door Car
WU86174,California,2677.279707,Bachelor,F,0,72,0,Personal Auto,345.6,Four-Door Car
DN21342,Oregon,6877.817669,College,F,0,96,0,Personal Auto,460.8,Four-Door Car
PB60406,California,5714.232848,Doctor,F,79719,71,0,Personal Auto,425.924132,Four-Door Car
IY37465,Arizona,4929.549699,Bachelor,M,25632,63,0,Corporate Auto,351.270869,Two-Door Car
LF55270,Oregon,10484.91535,College,F,61108,89,0,Personal Auto,49.451117,Four-Door Car
UV69038,California,9490.406534,College,M,0,137,0,Corporate Auto,657.6,SUV
IS63925,Arizona,7805.31287,College,F,21073,106,1,Personal Auto,508.8,SUV
CQ21583,Oregon,21274.34205,Doctor,M,17932,79,0,Personal Auto,379.2,Four-Door Car
PR21713,Nevada,5838.89915,High School or Below,M,81082,73,0,Personal Auto,281.295903,Four-Door Car
XE10977,Oregon,2677.495763,High School or Below,F,71684,66,0,Personal Auto,196.065149,Two-Door Car
JG87029,Oregon,2374.798861,High School or Below,M,57338,61,0,Personal Auto,292.8,Two-Door Car
BK21146,Arizona,22103.5072,College,M,0,102,0,Personal Auto,489.6,SUV
WE19034,Oregon,2427.770513,College,M,24409,62,0,Corporate Auto,297.6,Four-Door Car
DF62718,California,7294.40195,High School or Below,F,83488,90,0,Personal Auto,432.784577,Four-Door Car
MS59254,Washington,11360.46496,High School or Below,M,0,104,0,Corporate Auto,773.346065,Two-Door Car
WC65050,California,2811.956395,Master,F,62537,71,1,Personal Auto,354.199664,Two-Door Car
ST27958,Washington,4386.277558,College,M,10621,67,0,Personal Auto,321.6,Four-Door Car
XZ81226,Arizona,6446.918637,Bachelor,F,43478,80,0,Personal Auto,384,Four-Door Car
TU53781,Oregon,8427.172486,Bachelor,F,46503,215,1,Corporate Auto,1032,Luxury SUV
GC93551,Oregon,5290.127299,High School or Below,F,27179,66,0,Personal Auto,344.201601,Four-Door Car
MO33279,California,5592.455266,College,F,62229,70,0,Personal Auto,336,Two-Door Car
LD20926,Arizona,18892.19767,Bachelor,F,0,92,1,Personal Auto,441.6,Two-Door Car
PW90662,Oregon,13623.62257,College,M,67060,126,4,Personal Auto,339.000467,SUV
WS53288,Oregon,25464.82059,College,F,13663,97,0,Personal Auto,465.6,Four-Door Car
HE84643,California,2175.624856,High School or Below,F,0,63,0,Personal Auto,453.6,Four-Door Car
CL37990,Arizona,6699.222525,Bachelor,F,0,99,1,Corporate Auto,699.67536,Four-Door Car
HR87252,California,9043.678095,Bachelor,F,97745,113,0,Personal Auto,695.136477,Sports Car
SB27146,Oregon,4369.041685,High School or Below,F,26026,116,1,Personal Auto,283.670312,Two-Door Car
KI58952,California,51337.90677,College,F,72794,164,1,Personal Auto,50.454459,SUV
RM21896,Oregon,28699.89392,College,F,47730,91,0,Personal Auto,219.440024,Four-Door Car
JS38272,Arizona,4270.034394,College,M,0,122,0,Personal Auto,725.870693,SUV
NJ15094,Washington,5345.994644,Bachelor,F,0,72,0,Personal Auto,345.6,Four-Door Car
MZ88454,Oregon,4774.747415,Bachelor,F,0,70,0,Personal Auto,336,Four-Door Car
PO27978,Oregon,14727.50526,Doctor,F,97785,73,0,Personal Auto,236.614219,Two-Door Car
VT28596,California,4755.47946,High School or Below,F,0,66,0,Personal Auto,712.309237,Four-Door Car
TI19722,Washington,3436.134281,Doctor,M,30817,88,0,Corporate Auto,91.834668,Four-Door Car
DO83038,California,8355.774443,College,F,64502,70,0,Personal Auto,39.336222,Two-Door Car
AG62087,California,3412.566597,Bachelor,M,30335,87,0,Corporate Auto,326.132867,Four-Door Car
BA56812,Oregon,6185.337641,Master,M,21020,80,0,Corporate Auto,178.371281,Four-Door Car
QF74147,California,8456.722498,College,F,84574,70,0,Special Auto,167.459769,Four-Door Car
RN88075,Washington,3021.938522,Bachelor,F,0,84,0,Personal Auto,700.725788,Two-Door Car
OG71924,Oregon,6966.142868,Master,F,0,93,0,Personal Auto,436.143226,Four-Door Car
YF87007,Oregon,10083.48688,High School or Below,F,11828,90,0,Corporate Auto,571.479602,Four-Door Car
ZL18631,Arizona,2539.990699,College,F,54889,63,0,Personal Auto,302.4,Four-Door Car
BZ71120,Oregon,8456.455313,College,F,89918,105,0,Personal Auto,367.230882,SUV
UP60200,California,26576.31541,Bachelor,M,87002,110,0,Personal Auto,199.851173,Two-Door Car
XZ64172,Oregon,10963.95723,High School or Below,M,55687,276,0,Corporate Auto,1324.8,Luxury SUV
CA47176,Oregon,9671.98323,Bachelor,M,17103,87,0,Personal Auto,417.6,Two-Door Car
CI68869,Arizona,1898.683686,College,F,0,70,5,Personal Auto,702.020904,Two-Door Car
XT10744,Arizona,8595.146838,College,M,28441,73,0,Special Auto,686.020135,Two-Door Car
HT48275,Oregon,5532.753182,Bachelor,M,91212,69,0,Personal Auto,270.311239,Two-Door Car
HB48073,Arizona,9371.773682,Bachelor,F,66325,117,0,Corporate Auto,497.719213,SUV
MD43085,Oregon,3975.321516,Doctor,F,67895,101,4,Personal Auto,403.937672,Four-Door Car
NJ11986,Arizona,4456.016549,Master,F,29550,114,1,Corporate Auto,118.750512,Two-Door Car
HH55884,Arizona,3495.891476,College,M,10275,97,0,Personal Auto,465.6,Four-Door Car
JP69867,Nevada,8512.13221,College,M,61725,106,0,Personal Auto,508.8,Four-Door Car
FT86104,California,4650.063763,College,M,28215,65,0,Corporate Auto,468,Two-Door Car
GV39658,Arizona,13523.12989,College,F,10563,121,0,Corporate Auto,109.814874,SUV
GB66110,California,4422.409799,Bachelor,M,0,62,0,Personal Auto,722.432062,Two-Door Car
VD51297,California,7320.98824,College,M,99722,61,0,Personal Auto,292.8,Four-Door Car
EP29567,Washington,7031.463693,Master,M,16224,93,0,Corporate Auto,498.452698,Four-Door Car
PE59368,Washington,5123.484988,Bachelor,F,72096,64,0,Personal Auto,252.330905,Two-Door Car
DQ50538,Nevada,9050.756606,Bachelor,M,63800,113,0,Personal Auto,542.4,SUV
WP58340,Arizona,10963.95723,High School or Below,M,55687,276,0,Personal Auto,1324.8,Luxury SUV
TM23788,California,6039.020697,High School or Below,M,0,89,1,Personal Auto,640.8,Four-Door Car
UF44021,California,2108.493744,Bachelor,M,0,61,0,Personal Auto,351.85681,Two-Door Car
WB96917,California,9875.092794,College,M,29598,87,0,Personal Auto,150.926696,Two-Door Car
MN95006,California,6928.601611,Bachelor,M,22907,180,2,Personal Auto,49.18776,Luxury SUV
NP60037,Oregon,14318.44839,Bachelor,M,22697,186,1,Corporate Auto,892.8,Luxury SUV
NQ71171,California,5107.071054,Bachelor,M,70174,64,0,Personal Auto,128.90032,Four-Door Car
SM58898,California,17223.89108,High School or Below,F,85378,107,0,Corporate Auto,513.6,SUV
FN98595,Nevada,7516.831717,High School or Below,F,31477,94,0,Special Auto,146.950756,Four-Door Car
TW94555,Nevada,5389.499465,College,M,66429,136,0,Personal Auto,57.712985,Sports Car
XW60886,California,6275.155361,High School or Below,M,0,90,0,Personal Auto,900.242038,Four-Door Car
IE84844,Nevada,4722.237214,High School or Below,F,0,65,0,Personal Auto,655.489027,Four-Door Car
HY76810,Oregon,6282.317743,Bachelor,F,0,172,0,Corporate Auto,141.460349,SUV
JL41129,California,7986.191274,Bachelor,M,74217,100,0,Personal Auto,418.005524,SUV
OQ41280,Nevada,6503.219978,High School or Below,M,46298,88,3,Corporate Auto,128.292466,Four-Door Car
AP65984,Oregon,4881.753428,College,F,0,135,0,Personal Auto,648,SUV
EE99484,Washington,2514.59196,High School or Below,F,43860,65,0,Corporate Auto,156.124914,Four-Door Car
XM39121,Arizona,7955.442668,College,F,0,69,0,Personal Auto,331.2,Four-Door Car
DK49336,Arizona,4809.21696,College,M,48029,61,0,Corporate Auto,292.8,Four-Door Car
HB43486,Washington,9696.548818,College,F,86830,123,0,Personal Auto,480.533246,SUV
KB15252,Arizona,8709.321889,College,F,0,77,0,Personal Auto,509.100577,Two-Door Car
BN83547,Nevada,2858.452328,High School or Below,F,40706,71,0,Personal Auto,166.123172,Four-Door Car
MC55901,California,5233.949019,High School or Below,F,69231,65,0,Personal Auto,193.243084,Four-Door Car
PZ98142,Arizona,13494.76017,College,F,0,132,0,Personal Auto,950.4,SUV
GB43363,Oregon,6870.607058,College,M,0,105,0,Personal Auto,756,Four-Door Car
TH67541,Arizona,5652.72374,High School or Below,F,16171,74,0,Corporate Auto,311.004168,Four-Door Car
WC21901,Arizona,2345.262087,College,M,51397,61,0,Personal Auto,292.8,Four-Door Car
CL38124,Oregon,19688.31898,Bachelor,F,83879,69,0,Personal Auto,212.148485,Four-Door Car
XH89851,California,7247.206475,College,F,63267,92,0,Personal Auto,530.340202,Four-Door Car
KA58700,Nevada,6085.304178,College,M,44712,82,2,Corporate Auto,537.78416,Four-Door Car
ZB40259,California,5480.070226,Doctor,M,59311,69,0,Corporate Auto,14.812808,Four-Door Car
JV63229,Arizona,6876.309925,Bachelor,M,81957,86,0,Personal Auto,433.426544,Four-Door Car
SI31035,Arizona,5368.887709,Doctor,M,59601,67,0,Personal Auto,321.6,Four-Door Car
JW30054,Oregon,8283.066678,High School or Below,M,71034,103,0,Corporate Auto,494.4,Four-Door Car
AP56340,Washington,5384.671725,Bachelor,M,13103,72,0,Personal Auto,458.003651,Four-Door Car
FN44127,Oregon,3508.569533,College,M,20978,98,1,Personal Auto,1176.2788,Four-Door Car
QE79527,California,8427.172486,Bachelor,F,46503,215,1,Personal Auto,1032,Luxury SUV
UP36767,California,4553.809528,College,M,61064,113,0,Personal Auto,539.774172,SUV
PG43749,Oregon,4318.433036,College,F,17572,110,0,Personal Auto,639.769748,Two-Door Car
LL96228,Oregon,14091.19449,Master,M,99823,116,0,Corporate Auto,250.183388,SUV
OV40993,Nevada,8693.631249,College,F,17453,118,1,Personal Auto,566.4,SUV
MA80983,Oregon,6661.181553,College,M,55663,166,0,Personal Auto,194.739777,SUV
SA54664,Washington,2654.380994,Master,M,73196,66,1,Personal Auto,85.809817,Four-Door Car
TW12556,Oregon,4428.031583,High School or Below,F,58577,110,0,Personal Auto,303.872752,SUV
TC88451,Nevada,5738.277584,High School or Below,F,88055,71,0,Personal Auto,337.727542,Four-Door Car
BL93659,California,5815.049178,Bachelor,M,0,80,0,Personal Auto,384,Four-Door Car
SI20178,California,4425.905071,High School or Below,M,80892,110,0,Personal Auto,528,SUV
KC50464,Arizona,2574.020376,Master,F,34990,65,0,Corporate Auto,42.689135,Four-Door Car
HG64216,California,2832.513487,College,M,37124,72,0,Personal Auto,430.518791,Two-Door Car
XM91056,California,4876.315707,High School or Below,F,22236,62,0,Personal Auto,409.425049,Two-Door Car
KN13494,Washington,5181.620895,Master,F,97131,64,0,Personal Auto,307.2,Four-Door Car
OC47565,Oregon,5947.215835,College,F,67760,74,0,Special Auto,465.278453,Four-Door Car
HH14259,Arizona,2563.863345,Bachelor,F,0,69,0,Personal Auto,97.691104,Four-Door Car
QF66741,Nevada,15144.40954,College,M,0,62,1,Personal Auto,307.649586,Two-Door Car
LY46898,California,5558.304507,High School or Below,M,37473,70,0,Corporate Auto,336,Four-Door Car
MK73855,Washington,8109.364607,High School or Below,F,32314,68,0,Personal Auto,326.4,Four-Door Car
HU82227,Arizona,15638.57599,College,M,49214,102,3,Corporate Auto,371.322406,Four-Door Car
FF75737,Oregon,8334.317162,High School or Below,F,49851,69,1,Personal Auto,331.2,Four-Door Car
KJ50265,Washington,10418.31143,High School or Below,M,27951,91,0,Personal Auto,436.8,Four-Door Car
OQ82364,Nevada,6846.150323,Bachelor,F,0,95,0,Corporate Auto,456,Two-Door Car
SO47345,Arizona,9403.875138,Master,F,56410,117,0,Personal Auto,523.99823,SUV
JN51592,Arizona,16985.49688,Bachelor,F,22497,212,0,Special Auto,1017.6,Luxury Car
FH36069,Arizona,21101.21422,College,F,61347,106,0,Personal Auto,604.237801,SUV
ZW32080,Nevada,2914.955295,Bachelor,F,37803,74,0,Personal Auto,355.2,Four-Door Car
ZH98656,Nevada,8593.866533,Master,F,91276,105,0,Personal Auto,504,SUV
GZ31904,Oregon,6861.745956,College,M,30816,87,0,Personal Auto,237.57033,Two-Door Car
PN47493,Oregon,2680.900678,College,F,41968,67,0,Corporate Auto,183.207703,Four-Door Car
CX18273,Arizona,15797.98978,Master,M,35754,199,0,Personal Auto,612.973779,Luxury Car
IG80173,California,2863.312165,Master,F,36706,71,0,Personal Auto,435.606086,Four-Door Car
JG76775,Washington,30061.69259,High School or Below,M,48258,249,0,Personal Auto,1195.2,Luxury Car
JR82641,Arizona,10682.7619,Master,M,52965,134,3,Personal Auto,83.815183,SUV
NW41789,Oregon,2746.90319,Bachelor,M,0,84,0,Personal Auto,604.8,Four-Door Car
VG74039,Oregon,2388.949198,Bachelor,F,0,65,0,Personal Auto,455.644704,Four-Door Car
DV27428,Oregon,13776.74135,High School or Below,M,62634,116,0,Personal Auto,122.017931,SUV
AN57220,Oregon,17263.64048,Bachelor,F,96917,61,0,Special Auto,71.942176,Four-Door Car
VD62056,Arizona,4669.22664,High School or Below,F,76157,116,0,Personal Auto,556.8,Two-Door Car
AH92481,California,4673.196379,College,F,53219,117,0,Corporate Auto,561.6,SUV
LX97765,Arizona,4347.591949,College,F,81412,109,0,Personal Auto,344.294164,Two-Door Car
JP82211,California,33873.18123,College,F,59744,105,0,Personal Auto,476.486416,SUV
SI88726,California,9100.787395,College,F,38898,117,0,Corporate Auto,561.6,SUV
MG46007,California,6358.251692,High School or Below,M,0,94,2,Personal Auto,17.938979,Four-Door Car
GL69461,Oregon,2628.468543,College,F,99961,66,2,Personal Auto,316.8,Four-Door Car
RA63927,Oregon,7193.101159,High School or Below,M,30886,91,0,Personal Auto,103.424766,Two-Door Car
UE76013,Washington,5039.869278,Master,F,35984,128,3,Personal Auto,275.577631,SUV
RI35792,Nevada,3962.825542,College,F,0,125,4,Personal Auto,539.5622,SUV
WL63802,California,6425.709981,High School or Below,M,0,181,0,Personal Auto,1303.2,Luxury Car
KZ29413,Oregon,15672.69696,Master,M,0,139,0,Personal Auto,667.2,SUV
SN23932,Arizona,3237.996209,Master,M,60244,83,3,Personal Auto,326.281835,Four-Door Car
YW26148,California,12992.27561,High School or Below,F,0,72,0,Personal Auto,518.4,Four-Door Car
LS51818,California,22217.96796,College,F,37553,187,0,Personal Auto,897.6,Luxury Car
ZG47195,Nevada,4931.258363,College,M,0,73,0,Personal Auto,525.6,Four-Door Car
No50634,Oregon,4330.38602,College,M,60475,107,0,Personal Auto,513.6,Four-Door Car
GC42314,Arizona,8296.176276,Doctor,M,0,111,0,Personal Auto,672.91665,SUV
SD77009,California,8334.359986,College,M,0,136,2,Personal Auto,979.2,SUV
OW85480,California,5348.071007,Master,M,25545,69,0,Personal Auto,331.2,Four-Door Car
SW93780,Arizona,2398.740007,Master,M,24182,66,0,Personal Auto,316.8,Four-Door Car
ZW51071,Oregon,6622.05254,High School or Below,F,80979,84,2,Personal Auto,25.961213,Four-Door Car
CK74127,Arizona,4155.946211,Bachelor,M,0,62,0,Corporate Auto,446.4,Four-Door Car
KM52241,Arizona,8430.059143,High School or Below,F,0,74,0,Personal Auto,47.502366,Four-Door Car
PE66545,Oregon,2545.518369,Bachelor,M,29250,64,0,Personal Auto,308.240792,Two-Door Car
GG70928,California,5004.583872,Master,F,33566,63,1,Personal Auto,205.043307,Four-Door Car
GI36262,Washington,2899.702858,College,F,65247,72,0,Corporate Auto,381.238176,Four-Door Car
MH85165,California,6767.806751,High School or Below,M,39650,86,0,Personal Auto,922.335972,Four-Door Car
AM26717,California,3123.080994,Bachelor,M,0,101,4,Personal Auto,960.115399,SUV
CV90092,Oregon,8184.691323,College,M,82680,68,0,Corporate Auto,326.4,Four-Door Car
CL70684,California,7636.279594,High School or Below,M,0,111,0,Corporate Auto,799.2,Two-Door Car
GK13851,Oregon,9227.567263,College,M,0,129,0,Personal Auto,619.2,SUV
TQ73726,Oregon,7587.337272,Bachelor,M,0,69,0,Personal Auto,460.741097,Two-Door Car
RW65977,Arizona,2191.133237,College,M,0,61,1,Special Auto,439.2,Four-Door Car
EY74093,Nevada,5004.135361,High School or Below,M,86834,64,0,Corporate Auto,0.099007,Four-Door Car
YG11074,Arizona,4794.931261,Bachelor,F,46143,122,0,Personal Auto,223.028356,SUV
HW65139,California,26730.06042,Doctor,M,21275,240,0,Personal Auto,1152,Luxury SUV
BT49333,Arizona,4260.765808,High School or Below,M,47746,106,0,Personal Auto,246.696768,SUV
KN78424,California,15477.27854,College,M,51675,196,0,Corporate Auto,940.8,Sports Car
TH68648,California,5126.836814,College,M,85522,64,0,Personal Auto,165.002742,Four-Door Car
GZ22403,Oregon,4068.092649,High School or Below,M,0,63,4,Personal Auto,753.22565,Two-Door Car
NU26460,Oregon,17712.20524,College,F,0,84,0,Corporate Auto,633.294203,Four-Door Car
PB21909,Oregon,9775.816061,Bachelor,M,55632,123,0,Personal Auto,478.609999,SUV
TA78865,Nevada,20534.39224,High School or Below,M,0,93,0,Special Auto,669.6,Four-Door Car
FP23103,Oregon,5800.188903,Bachelor,M,0,78,0,Special Auto,374.4,Two-Door Car
YK43172,Arizona,3319.620511,Bachelor,M,69152,89,4,Personal Auto,221.359492,Four-Door Car
YZ36062,Oregon,6529.431827,Bachelor,M,13476,67,2,Corporate Auto,433.588181,Four-Door Car
SJ29837,Washington,7602.663689,High School or Below,F,0,105,0,Personal Auto,914.538629,SUV
RC72799,Oregon,2839.808041,College,F,33252,71,0,Personal Auto,407.668083,Four-Door Car
AN67558,Nevada,3288.209809,College,M,0,102,1,Personal Auto,734.4,SUV
EQ62488,Oregon,15031.5645,College,F,59456,189,0,Personal Auto,907.2,Luxury Car
OA92714,California,5055.902381,Bachelor,F,88989,63,1,Personal Auto,232.745161,Four-Door Car
QS76805,Arizona,8012.917253,High School or Below,M,0,107,0,Corporate Auto,513.6,SUV
PQ46798,California,8300.70769,College,F,17034,113,0,Personal Auto,542.4,Sports Car
IA56290,Arizona,2516.103555,College,F,88435,62,0,Personal Auto,136.263492,Four-Door Car
XU35186,California,2749.407985,High School or Below,F,71445,70,2,Personal Auto,336,Four-Door Car
DR84620,California,8071.334962,Bachelor,M,72149,101,0,Personal Auto,69.310166,SUV
QG27547,Oregon,2867.312197,Bachelor,F,23376,78,0,Personal Auto,374.4,Four-Door Car
NM95102,Oregon,7285.030983,High School or Below,M,44788,61,0,Personal Auto,386.031248,Four-Door Car
